total_reward,steps_river,num_steps,counts_0miss,counts_1miss,counts_2miss,counts_3miss,wall_clock_time
99.0,0.0,2.0,0.0,0.0,0.0,2.0,0.062383174896240234
99.0,0.0,2.0,1.0,1.0,0.0,0.0,0.05894613265991211
96.0,0.0,5.0,0.0,3.0,2.0,0.0,0.14820289611816406
98.0,0.0,3.0,0.0,3.0,0.0,0.0,0.08988285064697266
100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03115105628967285
100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.029725074768066406
83.0,0.0,18.0,4.0,7.0,6.0,1.0,0.5350069999694824
99.0,0.0,2.0,2.0,0.0,0.0,0.0,0.05758309364318848
64.0,2.0,19.0,0.0,6.0,7.0,6.0,0.5723967552185059
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05979514122009277
98.0,0.0,3.0,1.0,0.0,1.0,1.0,0.08929896354675293
100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.028955936431884766
99.0,0.0,2.0,0.0,2.0,0.0,0.0,0.05970501899719238
98.0,0.0,3.0,0.0,0.0,3.0,0.0,0.08969688415527344
99.0,0.0,2.0,0.0,0.0,1.0,1.0,0.06048774719238281
98.0,0.0,3.0,1.0,1.0,0.0,1.0,0.08906435966491699
99.0,0.0,2.0,1.0,0.0,1.0,0.0,0.059185028076171875
99.0,0.0,2.0,1.0,1.0,0.0,0.0,0.058950185775756836
99.0,0.0,2.0,0.0,0.0,2.0,0.0,0.060353755950927734
99.0,0.0,2.0,0.0,0.0,2.0,0.0,0.060398101806640625
98.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0915379524230957
97.0,0.0,4.0,0.0,0.0,3.0,1.0,0.12139320373535156
98.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0890340805053711
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05975222587585449
96.0,0.0,5.0,0.0,1.0,4.0,0.0,0.14995598793029785
96.0,0.0,5.0,0.0,3.0,1.0,1.0,0.14880585670471191
100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.030260801315307617
98.0,0.0,3.0,0.0,1.0,2.0,0.0,0.08977413177490234
96.0,0.0,5.0,0.0,2.0,1.0,2.0,0.1503159999847412
100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.02982497215270996
