total_reward,steps_river,path_length,counts_0miss,counts_1miss,counts_2miss,counts_3miss,wall_clock_time
-63.0,12.0,56.0,56.0,0.0,0.0,0.0,0.6293420791625977
47.0,2.0,36.0,36.0,0.0,0.0,0.0,0.4022550582885742
-713.0,67.0,211.0,211.0,0.0,0.0,0.0,2.3617000579833984
-605.0,52.0,238.0,238.0,0.0,0.0,0.0,2.662806987762451
-326.0,22.0,229.0,229.0,0.0,0.0,0.0,2.5409319400787354
0.0,0.0,101.0,101.0,0.0,0.0,0.0,1.1213507652282715
-310.0,27.0,168.0,168.0,0.0,0.0,0.0,1.8662042617797852
27.0,2.0,56.0,56.0,0.0,0.0,0.0,0.6204590797424316
-103.0,10.0,114.0,114.0,0.0,0.0,0.0,1.265347957611084
-259.0,19.0,189.0,189.0,0.0,0.0,0.0,2.099604845046997
52.0,4.0,13.0,13.0,0.0,0.0,0.0,0.14387106895446777
27.0,6.0,20.0,20.0,0.0,0.0,0.0,0.22214794158935547
11.0,7.0,27.0,27.0,0.0,0.0,0.0,0.2996559143066406
-301.0,30.0,132.0,132.0,0.0,0.0,0.0,1.4629230499267578
-6.0,8.0,35.0,35.0,0.0,0.0,0.0,0.38704419136047363
-10.0,4.0,75.0,75.0,0.0,0.0,0.0,0.8287122249603271
84.0,1.0,8.0,8.0,0.0,0.0,0.0,0.08880424499511719
-1626.0,120.0,647.0,647.0,0.0,0.0,0.0,7.20144510269165
24.0,5.0,32.0,32.0,0.0,0.0,0.0,0.35609912872314453
-2329.0,142.0,1152.0,1152.0,0.0,0.0,0.0,12.788141965866089
-330.0,25.0,206.0,206.0,0.0,0.0,0.0,2.2811601161956787
-3131.0,198.0,1450.0,1450.0,0.0,0.0,0.0,16.1169650554657
-132.0,14.0,107.0,107.0,0.0,0.0,0.0,1.1946289539337158
-92.0,4.0,157.0,157.0,0.0,0.0,0.0,1.7479910850524902
-255.0,25.0,131.0,131.0,0.0,0.0,0.0,1.450456142425537
-445.0,44.0,150.0,150.0,0.0,0.0,0.0,1.664147138595581
62.0,3.0,12.0,12.0,0.0,0.0,0.0,0.13347911834716797
-551.0,39.0,301.0,301.0,0.0,0.0,0.0,3.3392410278320312
-298.0,25.0,174.0,174.0,0.0,0.0,0.0,1.935302972793579
33.0,1.0,59.0,59.0,0.0,0.0,0.0,0.6556081771850586
-535.0,24.0,420.0,420.0,0.0,0.0,0.0,4.68732213973999
-188.0,18.0,127.0,127.0,0.0,0.0,0.0,1.4090311527252197
-104.0,14.0,79.0,79.0,0.0,0.0,0.0,0.8757939338684082
-894.0,72.0,347.0,347.0,0.0,0.0,0.0,3.8477649688720703
-231.0,23.0,125.0,125.0,0.0,0.0,0.0,1.3907392024993896
