PS,PW,MM,theta,t-color,t-in,t-out,IM,NC,K,p-shuf,max-iters,eps,a,g,seed,num_episodes,mean_total_reward,mean_steps_river,mean_path_length,mean_wallclock_time,mean20_total_reward,mean20_steps_river,mean20_path_length,mean20_wallclock_time
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,1.0,1.0,2,4505,71.84128745837958,2.006659267480577,11.098779134295228,0.8950448943295833,72.0,2.0,11.0,0.8867381453514099
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,0.0,0.0,0,14,-7320.857142857143,428.2857142857143,3567.285714285714,278.0080000843321,-7320.857142857143,428.2857142857143,3567.285714285714,278.0080000843321
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,0.0,0.0,1,14,-7592.714285714285,460.7142857142857,3547.285714285714,276.12314430304934,-7592.714285714285,460.7142857142857,3547.285714285714,276.12314430304934
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,0.0,0.0,2,16,-6791.75,429.375,3028.375,235.73242872953415,-6791.75,429.375,3028.375,235.73242872953415
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,0.0,0.5,0,14,-7320.857142857143,428.2857142857143,3567.285714285714,275.1000979627882,-7320.857142857143,428.2857142857143,3567.285714285714,275.1000979627882
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,0.0,0.5,1,14,-7592.714285714285,460.7142857142857,3547.285714285714,273.1296661751611,-7592.714285714285,460.7142857142857,3547.285714285714,273.1296661751611
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,0.0,0.5,2,16,-6791.75,429.375,3028.375,233.60069404542446,-6791.75,429.375,3028.375,233.60069404542446
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,0.0,1.0,0,14,-7320.857142857143,428.2857142857143,3567.285714285714,275.7550787074225,-7320.857142857143,428.2857142857143,3567.285714285714,275.7550787074225
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,0.0,1.0,1,14,-7592.714285714285,460.7142857142857,3547.285714285714,274.01966427053725,-7592.714285714285,460.7142857142857,3547.285714285714,274.01966427053725
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,0.0,1.0,2,16,-6791.75,429.375,3028.375,235.5214321166277,-6791.75,429.375,3028.375,235.5214321166277
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,1.0,0.0,0,63,-707.8571428571429,3.1904761904761907,780.1428571428571,62.63110209268237,-1347.15,3.05,1420.7,114.0495522260666
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,1.0,0.0,1,69,-640.2173913043479,3.652173913043478,708.3478260869565,55.13716710477635,-1243.3,5.1,1298.4,101.1065573334694
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,1.0,0.0,2,78,-546.2435897435897,3.0256410256410255,620.0128205128206,48.7082114311365,-1125.15,4.8,1182.95,92.77909512519837
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,1.0,0.5,0,5779,91.51341062467554,0.09274961065928361,8.651842879390898,0.748114449442784,91.15,0.15,8.5,0.7376029849052429
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,1.0,0.5,1,5668,91.44971771347919,0.08098094565984475,8.821453775582215,0.7440503266973233,92.2,0.05,8.35,0.7068124651908875
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,1.0,0.5,2,5731,91.52992496946432,0.08288256848717501,8.724131914151108,0.7435331736075236,91.7,0.1,8.4,0.7201416969299317
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,1.0,1.0,0,5664,82.03266242937853,1.126765536723164,8.826447740112995,0.7295169554187753,84.5,0.9,8.4,0.6948063254356385
